,County,yes,%,No,%,Voters,MED-DISP,REC-OG,REC-DISP (c. 2018),Ord since AUMA?,Perm (P) or Temp (T)?,updated?,Notes,Link,Unincorporated
1,Alameda (66%),"32,805",59.2%,"22,641",40.8%,"55,446",0,0.5,0,0,,02-23-2017,"New ordinance under review. Expected to reach planning commission in March and Board of Supes in April. If passed, it would initiate a two-year pilot program allowing medical marijuana cultivation. ""We will start looking at recreational after that,"" Liz McElligott of county planning dept",,"Unincorporated: Ashland, Castro Valley, Cherryland, Fairview, San Lorenzo, Sunol"
2,Alameda,"25,392",68.8%,"11,498",31.2%,"36,890",0,0.5,0,0,,02-23-2017,"01/19/16 - city moves to ban medical dispensaries and commercial cultivation, but leaves from for ""a robust discussion...at a later date"" ",https://alameda.legistar.com/LegislationDetail.aspx?ID=2545909&GUID=B95D1627-8BA2-4AFB-93F8-2F062DEB5219&Options=&Search=&FullText=1 ,
3,Albany,"6,858",76.1%,"2,155",23.9%,"9,013",0.5,0.5,0,0,,02-23-2017,"In 2006, voters approved a single marijuana dispensary. Business tax on cannabis businesses approved in 2010",http://www.albanyca.org/index.aspx?page=79,
4,Berkeley,"51,540",83.5%,"10,191",16.5%,"61,731",1,0.5,0,0,,02-23-2017,"""The goal is to have the legislation in effect by the end of the year""",Email,
5,Dublin,"11,629",57.5%,"8,595",42.5%,"20,224",0,0.5,0,0,,02-23-2017,"Nothing on the books yet, though there appears to be a delivery service based in Dublin.",http://www.codepublishing.com/CA/Dublin/Dublin08/Dublin0812.html#8.12,
6,Emeryville,"4,214",80.7%,"1,008",19.3%,"5,222",0.5,0.5,0,0,,04-06-2017,Has been working on regulations ,http://www.codepublishing.com/CA/Emeryville/#!/Emeryville05/Emeryville0528.html,
7,Fremont,"38,839",53.5%,"33,812",46.5%,"72,651",0,0.5,0,0,,02-23-2017,,https://fremont.gov/AgendaCenter/ViewFile/Agenda/_01052016-878?html=true,
8,Hayward,"27,247",60.0%,"18,177",40.0%,"45,424",1,0.5,0,0,,02-23-2017,"Passed tax measure, but don't have comprehensive ordinance in place",http://www.hayward-ca.gov/sites/default/files/Impartial%20Analysis.pdf,
9,Livermore,"22,513",57.7%,"16,527",42.3%,"39,040",0,0.5,0,0,,02-23-2017,City taking a survey on whether or not to permit a single dispensary,"http://www.ci.livermore.ca.us/news/displaynews.htm?NewsID=1719&TargetID=1,2,3,7,8,6,11,12,13,14,5,15,16,4,17,18,19",
10,Newark,"8,643",57.3%,"6,440",42.7%,"15,083",0,0.5,0,0,,02-23-2017,"""Permissive"" zoning code -- nothing new since 2016",,
11,Oakland,"132,224",76.9%,"39,753",23.1%,"171,977",1,0.5,0,0,,02-23-2017,City erected a commission to look into regulation of recreational cannabis,https://oakland.legistar.com/MeetingDetail.aspx?ID=511351&GUID=094F039E-32FC-4FF3-9E5C-B5E1FA840D3B&Options=&Search=,
12,Piedmont,"4,809",67.6%,"2,303",32.4%,"7,112",0,0,0,1,P,04-20-2017,Revised municipal code to ban all marijuana activity. Going to discuss recreational marijuana specifics at a later date. ,http://www.ci.piedmont.ca.us/html/city_code/pdf/chapter17.pdf,http://www.ci.piedmont.ca.us/html/govern/staffreports/2017-03-06/planning-zoning-ord-1st.pdf
13,Pleasanton,"19,134",55.9%,"15,076",44.1%,"34,210",0,0,0,1,T,04-06-2017,Urgency ordinance,http://qcode.us/codes/pleasanton/,
14,San Leandro,"18,482",59.6%,"12,516",40.4%,"30,998",0.5,0.5,0,0,,02-23-2017,"Council has giving the blessing for three medical cannabis dispensaries, including Harborside San Leandro",https://sanleandro.legistar.com/MeetingDetail.aspx?ID=528379&GUID=CCC8B774-BA89-4ABD-A414-B8740421FB36&Options=info&Search=cannabis,
15,Union City,"13,270",55.6%,"10,585",44.4%,"23,855",0,0.5,0,0,,02-23-2017,medical but not recreational ban language,http://www.ci.union-city.ca.us/Home/ShowDocument?id=3690,
16,Contra Costa (61%),"44,844",60.9%,"28,742",39.1%,"73,586",0,0,0,1,T,02-23-2017,"1-17-17 -- CCC adopts ""interim"" ordinance prohibiting nearly all commercial and recreational marijuana activity",http://64.166.146.245/docs/2017/BOS/20170117_872/28237_Ordinance%20Extending%20Interim%20Urgency%20Ordinance%20-%20Final%20011117.pdf,unincorporated
17,Antioch,"21,849",60.1%,"14,517",39.9%,"36,366",0,0,0,1,T,02-23-2017,12-13-16 -- Approved a moratorium on non-medical marijuana activity (set to expire fall 2017),http://www.ci.antioch.ca.us/CityGov/agendas/CityCouncil/2016/agendas/110816/110816.pdf,
18,Brentwood,"13,198",53.8%,"11,326",46.2%,"24,524",0,0.5,0,0,,04-06-2017,General ban on all commericial activity in code from 2016,,
19,Clayton,"3,538",53.8%,"3,034",46.2%,"6,572",0,0.5,0,0,,03-06-2017,email from Mindy Gentry 3/2/17,,
20,Concord,"29,736",61.0%,"19,043",39.0%,"48,779",0,0,0,1,P,03-02-2017,"In January 2017, counctil moved to prohibit outdoor growth of marijuana, in general. ",http://www.cityofconcord.org/pdf/citygov/agendas/council/2017/0110/9B.pdf,
21,Danville,"13,437",55.1%,"10,962",44.9%,"24,399",0,0,0,1,U,03-02-2017,Passed ban on outdoor cultivation,http://library.amlegal.com/nxt/gateway.dll/California/danville_ca/volumeiidevelopment/chapterxxxiiplanningandlanduse*?f=templates$fn=altmain-nf.htm$q=[field%20folio-destination-name:%2732-94.1%27]$x=Advanced#JD_32-94.1,
22,El Cerrito,"9,557",73.1%,"3,512",26.9%,"13,069",0,0.5,0,0,,03-02-2017,Discussed on 4/18 -- may limit future shops to san pablo corridor,http://el-cerrito.org/DocumentCenter/View/7212,
23,Hercules,"6,111",58.6%,"4,324",41.4%,"10,435",0,0.5,0,0,,03-.02-2017,,http://www.codepublishing.com/CA/Hercules/#!/Hercules04/Hercules0418.html#4-18,
24,Lafayette,"9,544",64.1%,"5,352",35.9%,"14,896",0,0.5,0,0,,03-07-2017,"City is looking at an ordinance, probably won't reach a vote until fall 2017",,
25,Martinez,"11,905",63.4%,"6,867",36.6%,"18,772",0.5,0,0,1,T,03-02-2017,Moratorium,http://www.cityofmartinez.org/civicax/filebank/blobdload.aspx?BlobID=4756,
26,Moraga,"5,132",57.3%,"3,824",42.7%,"8,956",0,0,0,1,P,03-02-2017,Ordinance is being discussed. To be voted on april 12-ish,http://www.moraga.ca.us/council/meetings/2017/041217/04-12-17%20Council%20Summary.pdf,
27,Oakley,"8,207",58.5%,"5,834",41.5%,"14,041",0,0.5,0,0,,04-06-2017,"Broad language banning cultivation, but nothing new",,
28,Orinda,"7,318",62.6%,"4,379",37.4%,"11,697",0,0.5,0,0,,04-06-2017,Nothing on books,,
29,Pinole,"5,197",62.2%,"3,152",37.8%,"8,349",0,0.5,0,0,,03-13-2017,2016 ordinance sought to prohibit everything,http://www.ci.pinole.ca.us/admin/docs/cc-rda/2016/2016-04-19/09A.pdf,
30,Pittsburg,"12,986",60.6%,"8,431",39.4%,"21,417",0,0,0,1,P,02-23-2017,Banned everything,,
